supplier_code	Price1_USD	Price5_USD	Price2_USD	Price4_USD	Price3_USD	Smiles	MDLN	Chemical_Name	CAS_RN	Link	Purity	Quantity4	Quantity5	Quantity1	Quantity2	Quantity3
SPC-t289	123	2276	277	1286	792	CC(C)(C)OC(N(C1)CC1(C#N)O)=O		tert-butyl 3-cyano-3-hydroxyazetidine-1-carboxylate	1493737-08-8	http://spirochem.com/tert-butyl-3-cyano-3-hydroxyazetidine-1-carboxylate.html	95	10G	25G	0.25G	1G	5G
SPC-t291	173	 	265	1622	541	CCC1(CO)CN(C(=O)OC(C)(C)C)C1	NA	tert-butyl 3-ethyl-3-(hydroxymethyl)azetidine-1-carboxylate	1638761-21-3	http://spirochem.com/tert-butyl-3-ethyl-3-hydroxymethyl-azetidine-1-carboxylate.html	95	5G		0.1G	0.25G	1G
SPC-t292	120	1781	238	594	396	CC(C)(C)OC(N(C1)CC1(CF)F)=O	MFCD28133687	tert-butyl 3-fluoro-3-(fluoromethyl)azetidine-1-carboxylate	1466514-76-0	http://spirochem.com/tert-butyl-3-fluoro-3-fluoromethyl-azetidine-1-carboxylate.html	95	1G	5G	0.1G	0.25G	0.5G
SPC-t293	154	 	347	 	 	CC(C)(C)OC(N(C1)CC1(CI)F)=O	MFCD23105997	tert-butyl 3-fluoro-3-(iodomethyl)azetidine-1-carboxylate	1374657-64-3	http://spirochem.com/tert-butyl-3-fluoro-3-iodomethyl-azetidine-1-carboxylate.html	95			0.25G	1G	
SPC-t295	126	1846	252	628	418	CC(C)(C)OC(N(CC[C@H]1C(C(F)(F)F)=O)CC1=O)=O	NA	tert-butyl 3-oxo-4-(trifluoroacetyl)piperidine-1-carboxylate	647863-25-0	http://spirochem.com/tert-butyl-3-oxo-4-trifluoroacetyl-piperidine-1-carboxylate.html	95	1G	5G	0.1G	0.25G	0.5G
SPC-t296	167	 	376	1860	1138	CC(C)(C)OC(N(C1)CC1NCc(cc1)ccc1Br)=O	MFCD07785934 	tert-butyl 3-{[(4-bromophenyl)methyl]amino}azetidine-1-carboxylate	887579-73-9	http://spirochem.com/tert-butyl-3-4-bromophenyl-methyl-amino-azetidine-1-carboxylate.html	95	10G		0.25G	1G	5G
SPC-t297	514	 	1511	 	2516	CC(C)(C)OC(N(CCC1)C[C@H]1NCc(cc1)ccc1Br)=O	MFCD07786009 	tert-butyl 3-{[(4-bromophenyl)methyl]amino}piperidine-1-carboxylate	887584-43-2	http://spirochem.com/tert-butyl-3-4-bromophenyl-methyl-amino-piperidine-1-carboxylate.html	95			1G	5G	10G
SPC-t298	560	 	1644	4359	2571	CC(C)(C)OC(N(CC1)C[C@H]1NCc(cc1)ccc1Br)=O	MFCD09751888 	tert-butyl 3-{[(4-bromophenyl)methyl]amino}pyrrolidine-1-carboxylate	1260810-70-5	http://spirochem.com/tert-butyl-3-4-bromophenyl-methyl-amino-pyrrolidine-1-carboxylate.html	95	25G		1G	5G	10G
SPC-t299	119	 	208	 	 	CC(C)(C)OC(N(C1)CC1NC(OCc1ccccc1)=O)=O	NA	tert-butyl 3-{[(benzyloxy)carbonyl]amino}azetidine-1-carboxylate	1017044-94-8	http://spirochem.com/tert-butyl-3-benzyloxy-carbonyl-amino-azetidine-1-carboxylate.html	95			5G	10G	
SPC-t300	172	2516	342	855	570	CC(CC(CN)CC1)N1C(OC(C)(C)C)=O		tert-butyl 4-(aminomethyl)-2-methylpiperidine-1-carboxylate	1540186-79-5	http://spirochem.com/tert-butyl-4-aminomethyl-2-methylpiperidine-1-carboxylate.html	95	1G	5G	0.1G	0.25G	0.5G
